Substance,Period,Date,Value1,Value2,Value3,Value4
PM10,24h,,50,75,,
BC,24h,19.12.2020,4,,,
UV,24h,19.12.2020,9,,,
Benzen,24h,,,,,
SO 2,24h,20.12.2020,125,125,8,8
ČAĐ,24h,20.12.2020,50,6,11,8
NO,2 24h,20.12.2020,85,125,12,15
NH3,24h,20.12.2020,100,5,6,
TSP,24h,,120,,,
PM10,24h,17.12.2020,50,75,62,
BC,24h,20.12.2020,3,,,
UV,24h,20.12.2020,8,,,
Benzen,24h,,,,,
SO 2,24h,21.12.2020,125,125,8,8
ČAĐ,24h,21.12.2020,50,7,18,7
NO,2 24h,21.12.2020,85,125,13,18
NH3,24h,21.12.2020,100,5,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,21.12.2020,2,,,
UV,24h,21.12.2020,5,,,
Benzen,24h,,,,,
SO 2,24h,22.12.2020,125,125,8,8
ČAĐ,24h,22.12.2020,50,9,17,9
NO,2 24h,22.12.2020,85,125,12,17
NH3,24h,22.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,22.12.2020,2,,,
UV,24h,22.12.2020,6,,,
Benzen,24h,,,,,
SO 2,24h,23.12.2020,125,125,8,8
ČAĐ,24h,23.12.2020,50,55,52,40
NO,2 24h,23.12.2020,85,125,39,29
NH3,24h,23.12.2020,100,5,6,
TSP,24h,,120,,,
PM10,24h,20.12.2020,50,75,36,
BC,24h,23.12.2020,8,,,
UV,24h,23.12.2020,15,,,
Benzen,24h,,,,,
SO 2,24h,24.12.2020,125,125,8,8
ČAĐ,24h,24.12.2020,50,30,32,20
NO,2 24h,24.12.2020,85,125,25,31
NH3,24h,24.12.2020,100,6,9,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,24.12.2020,9,,,
UV,24h,24.12.2020,18,,,
Benzene,24h,,,2,,
SO 2,24h,25.12.2020,125,125,8,8
ČAĐ,24h,25.12.2020,50,10,6,10
NO,2 24h,25.12.2020,85,125,23,15
NH3,24h,25.12.2020,100,9,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,25.12.2020,4,,,
UV,24h,25.12.2020,8,,,
Benzen,24h,,,,,
SO 2,24h,26.12.2020,125,125,8,8
ČAĐ,24h,26.12.2020,50,7,4,7
NO,2 24h,26.12.2020,85,125,18,12
NH3,24h,26.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,23.12.2020,50,75,97,
BC,24h,26.12.2020,1,,,
UV,24h,26.12.2020,4,,,
Benzen,24h,,,,,
SO 2,24h,27.12.2020,125,125,8,8
ČAĐ,24h,27.12.2020,50,5,6,8
NO,2 24h,27.12.2020,85,125,6,7
NH3,24h,27.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,27.12.2020,1,,,
UV,24h,27.12.2020,4,,,
Benzen,24h,,,,,
SO 2,24h,28.12.2020,125,125,8,8
ČAĐ,24h,28.12.2020,50,4,4,7
NO,2 24h,28.12.2020,85,125,13,14
NH3,24h,28.12.2020,100,5,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,28.12.2020,1,,,
UV,24h,28.12.2020,4,,,
Benzen,24h,,,,,
SO 2,24h,29.12.2020,125,125,8,8
ČAĐ,24h,29.12.2020,50,8,7,7
NO,2 24h,29.12.2020,85,125,13,17
NH3,24h,29.12.2020,100,5,6,
TSP,24h,,120,,,
PM10,24h,26.12.2020,50,75,17,
BC,24h,29.12.2020,2,,,
UV,24h,29.12.2020,5,,,
Benzen,24h,,,,,
SO 2,24h,30.12.2020,125,125,8,8
ČAĐ,24h,30.12.2020,50,38,34,33
NO,2 24h,30.12.2020,85,125,40,37
NH3,24h,30.12.2020,100,5,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,30.12.2020,8,,,
UV,24h,30.12.2020,13,,,
Benzen,24h,30.12.2020,,,,
SO 2,24h,31.12.2020,125,125,8,8
ČAĐ,24h,31.12.2020,50,13,10,11
NO,2 24h,31.12.2020,85,125,21,14
NH3,24h,31.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,31.12.2020,5,,,
UV,24h,31.12.2020,10,,,
Benzen,24h,,,,,
SO 2,24h,01.05.2021,125,125,8,8
ČAĐ,24h,01.05.2021,50,4,4,4
NO,2 24h,01.05.2021,85,125,8,10
NH3,24h,01.05.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,01.05.2021,50,75,20,
BC,24h,01.05.2021,1,,,
UV,24h,01.05.2021,3,,,
Benzen,24h,,,,,
SO 2,24h,02.05.2021,125,125,8,8
ČAĐ,24h,02.05.2021,50,4,4,4
NO,2 24h,02.05.2021,85,125,9,9
NH3,24h,02.05.2021,100,8,11,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,02.05.2021,0,,,
UV,24h,02.05.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,03.05.2021,125,125,8,8
ČAĐ,24h,03.05.2021,50,4,4,4
NO,2 24h,03.05.2021,85,125,7,9
NH3,24h,03.05.2021,100,6,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,03.05.2021,0,,,
UV,24h,03.05.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,04.05.2021,125,125,8,8
ČAĐ,24h,04.05.2021,50,4,9,5
NO,2 24h,04.05.2021,85,125,14,16
NH3,24h,04.05.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,04.05.2021,50,75,16,
BC,24h,04.05.2021,1,,,
UV,24h,04.05.2021,2,,,
Benzen,24h,,,,,
SO 2,24h,05.05.2021,125,125,8,8
ČAĐ,24h,05.05.2021,50,4,4,4
NO,2 24h,05.05.2021,85,125,9,12
NH3,24h,05.05.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,05.05.2021,1,,,
UV,24h,05.05.2021,2,,,
Benzen,24h,05.05.2021,,,,
SO 2,24h,06.05.2021,125,125,8,8
ČAĐ,24h,06.05.2021,50,4,4,4
NO,2 24h,06.05.2021,85,125,15,19
NH3,24h,06.05.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,06.05.2021,0,,,
UV,24h,06.05.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,07.05.2021,125,125,8,8
ČAĐ,24h,07.05.2021,50,4,4,4
NO,2 24h,07.05.2021,85,125,10,15
NH3,24h,07.05.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,07.05.2021,50,75,11,
BC,24h,07.05.2021,1,,,
UV,24h,07.05.2021,2,,,
Benzen,24h,,,,,
SO 2,24h,08.05.2021,125,125,8,8
ČAĐ,24h,08.05.2021,50,8,5,10
NO,2 24h,08.05.2021,85,125,11,13
NH3,24h,08.05.2021,100,5,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,08.05.2021,2,,,
UV,24h,08.05.2021,2,,,
Benzen,24h,,,,,
SO 2,24h,09.05.2021,125,125,8,8
ČAĐ,24h,09.05.2021,50,4,4,4
NO,2 24h,09.05.2021,85,125,5,7
NH3,24h,09.05.2021,100,16,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,09.05.2021,1,,,
UV,24h,09.05.2021,2,,,
Benzen,24h,,,,,
SO 2,24h,10.05.2021,125,125,8,8
ČAĐ,24h,10.05.2021,50,4,5,4
NO,2 24h,10.05.2021,85,125,8,12
NH3,24h,10.05.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,10.05.2021,50,75,15,
BC,24h,10.05.2021,1,,,
UV,24h,10.05.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,11.05.2021,125,125,8,8
ČAĐ,24h,11.05.2021,50,4,4,4
NO,2 24h,11.05.2021,85,125,6,9
NH3,24h,11.05.2021,100,15,11,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,11.05.2021,,,,
UV,24h,11.05.2021,,,,
Benzene,24h,,,2,,
SO 2,24h,12.05.2021,125,125,8,8
ČAĐ,24h,12.05.2021,50,4,4,5
NO,2 24h,12.05.2021,85,125,17,15
NH3,24h,12.05.2021,100,5,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,12.05.2021,1,,,
UV,24h,12.05.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,13.05.2021,125,125,8,8
ČAĐ,24h,13.05.2021,50,5,6,4
NO,2 24h,13.05.2021,85,125,19,13
NH3,24h,13.05.2021,100,5,6,
TSP,24h,,120,,,
PM10,24h,13.05.2021,50,75,10,
BC,24h,13.05.2021,2,,,
UV,24h,13.05.2021,2,,,
Benzen,24h,,,,,
SO 2,24h,14.05.2021,125,125,8,8
ČAĐ,24h,14.05.2021,50,4,4,4
NO,2 24h,14.05.2021,85,125,25,20
NH3,24h,14.05.2021,100,9,13,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,14.05.2021,1,,,
UV,24h,14.05.2021,2,,,
Benzen,24h,,,,,
SO 2,24h,15.05.2021,125,125,8,8
ČAĐ,24h,15.05.2021,50,4,4,4
NO,2 24h,15.05.2021,85,125,18,11
NH3,24h,15.05.2021,100,5,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,15.05.2021,1,,,
UV,24h,15.05.2021,2,,,
Benzen,24h,,,,,
SO 2,24h,16.05.2021,125,125,8,8
ČAĐ,24h,16.05.2021,50,7,9,5
NO,2 24h,16.05.2021,85,125,20,20
NH3,24h,16.05.2021,100,15,15,
TSP,24h,,120,,,
PM10,24h,16.05.2021,50,75,17,
BC,24h,16.05.2021,1,,,
UV,24h,16.05.2021,2,,,
Benzen,24h,,,,,
SO 2,24h,17.05.2021,125,125,8,8
ČAĐ,24h,17.05.2021,50,4,4,5
NO,2 24h,17.05.2021,85,125,17,9
NH3,24h,17.05.2021,100,7,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,17.05.2021,1,,,
UV,24h,17.05.2021,2,,,
Benzen,24h,17.05.2021,,,,
SO 2,24h,18.05.2021,125,125,8,8
ČAĐ,24h,18.05.2021,50,4,4,6
NO,2 24h,18.05.2021,85,125,18,13
NH3,24h,18.05.2021,100,6,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,18.05.2021,2,,,
UV,24h,18.05.2021,2,,,
Benzen,24h,,,,,
SO 2,24h,19.05.2021,125,125,8,8
ČAĐ,24h,19.05.2021,50,4,4,4
NO,2 24h,19.05.2021,85,125,19,14
NH3,24h,19.05.2021,100,7,7,
TSP,24h,,120,,,
PM10,24h,19.05.2021,50,75,15,
BC,24h,19.05.2021,3,,,
UV,24h,19.05.2021,4,,,
Benzen,24h,,,,,
SO 2,24h,20.05.2021,125,125,8,8
ČAĐ,24h,20.05.2021,50,4,4,4
NO,2 24h,20.05.2021,85,125,15,10
NH3,24h,20.05.2021,100,6,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,20.05.2021,1,,,
UV,24h,20.05.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,21.05.2021,125,125,8,8
ČAĐ,24h,21.05.2021,50,4,47,4
NO,2 24h,21.05.2021,85,125,13,19
NH3,24h,21.05.2021,100,6,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,21.05.2021,1,,,
UV,24h,21.05.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,22.05.2021,125,125,8,8
ČAĐ,24h,22.05.2021,50,4,4,6
NO,2 24h,22.05.2021,85,125,12,11
NH3,24h,22.05.2021,100,7,6,
TSP,24h,,120,,,
PM10,24h,22.05.2021,50,75,28,
BC,24h,22.05.2021,2,,,
UV,24h,22.05.2021,2,,,
Benzen,24h,,,,,
SO 2,24h,23.05.2021,125,125,8,8
ČAĐ,24h,23.05.2021,50,4,4,4
NO,2 24h,23.05.2021,85,125,12,8
NH3,24h,23.05.2021,100,7,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,23.05.2021,1,,,
UV,24h,23.05.2021,2,,,
Benzen,24h,23.05.2021,,,,
SO 2,24h,24.05.2021,125,125,8,8
ČAĐ,24h,24.05.2021,50,4,5,4
NO,2 24h,24.05.2021,85,125,11,13
NH3,24h,24.05.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,24.05.2021,0,,,
UV,24h,24.05.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,25.05.2021,125,125,8,8
ČAĐ,24h,25.05.2021,50,4,4,4
NO,2 24h,25.05.2021,85,125,12,9
NH3,24h,25.05.2021,100,7,10,
TSP,24h,,120,,,
PM10,24h,25.05.2021,50,75,27,
BC,24h,25.05.2021,0,,,
UV,24h,25.05.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,26.05.2021,125,125,8,8
ČAĐ,24h,26.05.2021,50,5,4,5
NO,2 24h,26.05.2021,85,125,18,15
NH3,24h,26.05.2021,100,5,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,26.05.2021,1,,,
UV,24h,26.05.2021,2,,,
Benzen,24h,,,,,
SO 2,24h,27.05.2021,125,125,8,8
ČAĐ,24h,27.05.2021,50,16,4,6
NO,2 24h,27.05.2021,85,125,15,10
NH3,24h,27.05.2021,100,8,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,27.05.2021,2,,,
UV,24h,27.05.2021,3,,,
Benzen,24h,,,,,
SO 2,24h,28.05.2021,125,125,8,8
ČAĐ,24h,28.05.2021,50,4,4,4
NO,2 24h,28.05.2021,85,125,18,14
NH3,24h,28.05.2021,100,5,6,
TSP,24h,,120,,,
PM10,24h,28.05.2021,50,75,23,
BC,24h,28.05.2021,1,,,
UV,24h,28.05.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,29.05.2021,125,125,8,8
ČAĐ,24h,29.05.2021,50,4,4,4
NO,2 24h,29.05.2021,85,125,11,6
NH3,24h,29.05.2021,100,5,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,29.05.2021,0,,,
UV,24h,29.05.2021,1,,,
Benzene,24h,,,2,,
SO 2,24h,30.05.2021,125,125,8,8
ČAĐ,24h,30.05.2021,50,4,4,4
NO,2 24h,30.05.2021,85,125,10,6
NH3,24h,30.05.2021,100,7,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,30.05.2021,0,,,
UV,24h,30.05.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,31.05.2021,125,125,8,8
ČAĐ,24h,31.05.2021,50,4,4,4
NO,2 24h,31.05.2021,85,125,15,6
NH3,24h,31.05.2021,100,5,9,
TSP,24h,,120,,,
PM10,24h,31.05.2021,50,75,14,
BC,24h,31.05.2021,0,,,
UV,24h,31.05.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,01.03.2020,125,125,8,8
ČAĐ,24h,01.03.2020,50,17,20,19
NO,2 24h,01.03.2020,85,125,12,19
NH3,24h,01.03.2020,100,5,6,
TSP,24h,,120,,,
PM10,24h,27.02.2020,50,75,28,
BC,24h,01.03.2020,5,,,
UV,24h,01.03.2020,10,,,
Benzen,24h,,,,,
SO 2,24h,02.03.2020,125,125,8,8
ČAĐ,24h,02.03.2020,50,17,22,10
NO,2 24h,02.03.2020,85,125,16,13
NH3,24h,02.03.2020,100,7,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,02.03.2020,3,,,
UV,24h,02.03.2020,7,,,
Benzen,24h,,,,,
SO 2,24h,03.03.2020,125,125,8,8
ČAĐ,24h,03.03.2020,50,16,17,16
NO,2 24h,03.03.2020,85,125,17,26
NH3,24h,03.03.2020,100,5,9,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,03.03.2020,5,,,
UV,24h,03.03.2020,8,,,
Benzen,24h,,,,,
SO 2,24h,04.03.2020,125,125,8,8
ČAĐ,24h,04.03.2020,50,10,7,12
NO,2 24h,04.03.2020,85,125,15,10
NH3,24h,04.03.2020,100,6,6,
TSP,24h,,120,,,
PM10,24h,01.03.2020,50,75,40,
BC,24h,04.03.2020,3,,,
UV,24h,04.03.2020,6,,,
Benzen,24h,,,,,
SO 2,24h,05.03.2020,125,125,8,8
ČAĐ,24h,05.03.2020,50,15,20,20
NO,2 24h,05.03.2020,85,125,15,25
NH3,24h,05.03.2020,100,5,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,05.03.2020,6,,,
UV,24h,05.03.2020,11,,,
Benzene,24h,,,2,,
SO 2,24h,06.03.2020,125,125,8,8
ČAĐ,24h,06.03.2020,50,15,18,16
NO,2 24h,06.03.2020,85,125,16,17
NH3,24h,06.03.2020,100,6,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,06.03.2020,4,,,
UV,24h,06.03.2020,8,,,
Benzen,24h,,,,,
SO 2,24h,07.03.2020,125,125,8,8
ČAĐ,24h,07.03.2020,50,10,10,11
NO,2 24h,07.03.2020,85,125,7,10
NH3,24h,07.03.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,04.03.2020,50,75,27,
BC,24h,07.03.2020,5,,,
UV,24h,07.03.2020,9,,,
Benzen,24h,,,,,
SO 2,24h,08.03.2020,125,125,8,8
ČAĐ,24h,08.03.2020,50,15,11,14
NO,2 24h,08.03.2020,85,125,12,10
NH3,24h,08.03.2020,100,8,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,08.03.2020,4,,,
UV,24h,08.03.2020,7,,,
Benzen,24h,,,,,
SO 2,24h,09.03.2020,125,125,8,8
ČAĐ,24h,09.03.2020,50,16,16,22
NO,2 24h,09.03.2020,85,125,15,17
NH3,24h,09.03.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
