Substance,Period,Date,Value1,Value2,Value3,Value4
Benzen,24h,,,,,
SO 2,24h,07.10.2022,125,125,8,8
ČAĐ,24h,07.10.2022,50,14,13,
NO,2 24h,07.10.2022,85,125,5,5
NH3,24h,07.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,07.10.2022,50,75,43,35
Benzen,24h,,,,,
SO 2,24h,08.10.2022,125,125,8,8
ČAĐ,24h,08.10.2022,50,12,24,
NO,2 24h,08.10.2022,85,125,7,7
NH3,24h,08.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,08.10.2022,50,75,36,38
Benzen,24h,,,,,
SO 2,24h,09.10.2022,125,125,8,8
ČAĐ,24h,09.10.2022,50,15,18,
NO,2 24h,09.10.2022,85,125,9,10
NH3,24h,09.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,09.10.2022,50,75,55,42
Benzene,24h,,,2,,
SO 2,24h,10.10.2022,125,125,8,8
ČAĐ,24h,10.10.2022,50,4,7,
NO,2 24h,10.10.2022,85,125,2,2
NH3,24h,10.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,10.10.2022,50,75,28,29
Benzen,24h,,,,,
SO 2,24h,11.10.2022,125,125,8,8
ČAĐ,24h,11.10.2022,50,20,24,
NO,2 24h,11.10.2022,85,125,12,35
NH3,24h,11.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,11.10.2022,50,75,59,53
Benzen,24h,,,,,
SO 2,24h,12.10.2022,125,125,8,8
ČAĐ,24h,12.10.2022,50,10,15,
NO,2 24h,12.10.2022,85,125,18,16
NH3,24h,12.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,12.10.2022,50,75,51,50
Benzen,24h,,,,,
SO 2,24h,13.10.2022,125,125,8,8
ČAĐ,24h,13.10.2022,50,5,11,
NO,2 24h,13.10.2022,85,125,12,18
NH3,24h,13.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,13.10.2022,50,75,35,33
Benzen,24h,,,,,
SO 2,24h,14.10.2022,125,125,8,8
ČAĐ,24h,14.10.2022,50,4,12,
NO,2 24h,14.10.2022,85,125,13,20
NH3,24h,14.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,14.10.2022,50,75,29,31
Benzen,24h,,,,,
SO 2,24h,15.10.2022,125,125,8,8
ČAĐ,24h,15.10.2022,50,4,7,
NO,2 24h,15.10.2022,85,125,7,12
NH3,24h,15.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,15.10.2022,50,75,20,20
Benzene,24h,,,2,,
SO 2,24h,16.10.2022,125,125,8,8
ČAĐ,24h,16.10.2022,50,4,9,
NO,2 24h,16.10.2022,85,125,6,10
NH3,24h,16.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,16.10.2022,50,75,23,25
Benzen,24h,,,,,
SO 2,24h,17.10.2022,125,125,8,8
ČAĐ,24h,17.10.2022,50,4,11,
NO,2 24h,17.10.2022,85,125,6,17
NH3,24h,17.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,17.10.2022,50,75,32,30
Benzen,24h,,,,,
SO 2,24h,18.10.2022,125,125,8,8
ČAĐ,24h,18.10.2022,50,8,21,
NO,2 24h,18.10.2022,85,125,22,28
NH3,24h,18.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,18.10.2022,50,75,36,32
Benzen,24h,,,,,
SO 2,24h,19.10.2022,125,125,8,8
ČAĐ,24h,19.10.2022,50,7,8,
NO,2 24h,19.10.2022,85,125,18,14
NH3,24h,19.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,19.10.2022,50,75,36,31
Benzen,24h,,,,,
SO 2,24h,20.10.2022,125,125,8,8
ČAĐ,24h,20.10.2022,50,5,13,
NO,2 24h,20.10.2022,85,125,19,21
NH3,24h,20.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,20.10.2022,50,75,35,34
Benzen,24h,,,,,
SO 2,24h,21.10.2022,125,125,8,8
ČAĐ,24h,21.10.2022,50,8,5,
NO,2 24h,21.10.2022,85,125,9,12
NH3,24h,21.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,21.10.2022,50,75,32,30
Benzene,24h,,,2,,
SO 2,24h,22.10.2022,125,125,8,8
ČAĐ,24h,22.10.2022,50,8,20,
NO,2 24h,22.10.2022,85,125,11,12
NH3,24h,22.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,22.10.2022,50,75,33,32
Benzen,24h,,,,,
SO 2,24h,23.10.2022,125,125,8,8
ČAĐ,24h,23.10.2022,50,4,10,
NO,2 24h,23.10.2022,85,125,4,16
NH3,24h,23.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,23.10.2022,50,75,25,26
Benzen,24h,,,,,
SO 2,24h,24.10.2022,125,125,8,8
ČAĐ,24h,24.10.2022,50,15,31,
NO,2 24h,24.10.2022,85,125,31,30
NH3,24h,24.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,24.10.2022,50,75,59,56
Benzen,24h,,,,,
SO 2,24h,25.10.2022,125,125,8,8
ČAĐ,24h,25.10.2022,50,7,10,
NO,2 24h,25.10.2022,85,125,20,21
NH3,24h,25.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,25.10.2022,50,75,26,20
Benzen,24h,,,,,
SO 2,24h,26.10.2022,125,125,8,8
ČAĐ,24h,26.10.2022,50,8,18,
NO,2 24h,26.10.2022,85,125,25,35
NH3,24h,26.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,26.10.2022,50,75,29,30
Benzen,24h,,,,,
SO 2,24h,27.10.2022,125,125,8,8
ČAĐ,24h,27.10.2022,50,18,20,
NO,2 24h,27.10.2022,85,125,19,34
NH3,24h,27.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,27.10.2022,50,75,53,40
Benzene,24h,,,2,,
SO 2,24h,28.10.2022,125,125,8,8
ČAĐ,24h,28.10.2022,50,8,15,
NO,2 24h,28.10.2022,85,125,20,26
NH3,24h,28.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,28.10.2022,50,75,45,35
Benzen,24h,,,,,
SO 2,24h,29.10.2022,125,125,8,8
ČAĐ,24h,29.10.2022,50,11,20,
NO,2 24h,29.10.2022,85,125,7,23
NH3,24h,29.10.2022,100,36,10,
TSP,24h,,120,,,
PM10,24h,29.10.2022,50,75,59,62
Benzen,24h,,,,,
SO 2,24h,30.10.2022,125,125,8,8
ČAĐ,24h,30.10.2022,50,10,13,
NO,2 24h,30.10.2022,85,125,19,17
NH3,24h,30.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,30.10.2022,50,75,57,56
Benzen,24h,,,,,
SO 2,24h,31.10.2022,125,125,8,8
ČAĐ,24h,31.10.2022,50,10,15,
NO,2 24h,31.10.2022,85,125,10,23
NH3,24h,31.10.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,31.10.2022,50,75,51,49
Benzen,24h,,,,,
SO 2,24h,01.10.2019,125,125,8,17
ČAĐ,24h,01.10.2019,50,8,13,11
NO,2 24h,01.10.2019,85,125,22,33
NH3,24h,01.10.2019,100,13,11,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,01.10.2019,2,,,
UV,24h,01.10.2019,3,,,
Benzen,24h,01.10.2019,,,,
SO 2,24h,02.10.2019,125,125,8,9
ČAĐ,24h,02.10.2019,50,14,18,17
NO,2 24h,02.10.2019,85,125,31,19
NH3,24h,02.10.2019,100,13,11,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,02.10.2019,3,,,
UV,24h,02.10.2019,5,,,
Benzen,24h,,,,,
SO 2,24h,03.10.2019,125,125,8,8
ČAĐ,24h,03.10.2019,50,4,4,6
NO,2 24h,03.10.2019,85,125,20,15
NH3,24h,03.10.2019,100,14,16,
TSP,24h,,120,,,
PM10,24h,30.09.2019,50,75,33,
BC,24h,03.10.2019,1,,,
UV,24h,03.10.2019,2,,,
Benzen,24h,,,,,
SO 2,24h,04.10.2019,125,125,8,8
ČAĐ,24h,04.10.2019,50,18,12,20
NO,2 24h,04.10.2019,85,125,31,16
NH3,24h,04.10.2019,100,10,13,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,04.10.2019,3,,,
UV,24h,04.10.2019,4,,,
Benzen,24h,,,,,
SO 2,24h,05.10.2019,125,125,8,8
ČAĐ,24h,05.10.2019,50,14,21,17
NO,2 24h,05.10.2019,85,125,21,20
NH3,24h,05.10.2019,100,16,11,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,05.10.2019,4,,,
UV,24h,05.10.2019,7,,,
Benzen,24h,,,,,
SO 2,24h,06.10.2019,125,125,8,8
ČAĐ,24h,06.10.2019,50,23,15,19
NO,2 24h,06.10.2019,85,125,4,4
NH3,24h,06.10.2019,100,8,7,
TSP,24h,,120,,,
PM10,24h,03.10.2019,50,75,19,
BC,24h,06.10.2019,4,,,
UV,24h,06.10.2019,6,,,
Benzen,24h,,,,,
SO 2,24h,07.10.2019,125,125,8,8
ČAĐ,24h,07.10.2019,50,7,7,11
NO,2 24h,07.10.2019,85,125,,
NH3,24h,07.10.2019,100,9,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,07.10.2019,3,,,
UV,24h,07.10.2019,6,,,
Benzen,24h,07.10.2019,,,,
SO 2,24h,08.10.2019,125,125,8,8
ČAĐ,24h,08.10.2019,50,11,10,13
NO,2 24h,08.10.2019,85,125,15,15
NH3,24h,08.10.2019,100,13,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,08.10.2019,3,,,
UV,24h,08.10.2019,6,,,
Benzen,24h,,,,,
SO 2,24h,09.10.2019,125,125,8,8
ČAĐ,24h,09.10.2019,50,27,26,28
NO,2 24h,09.10.2019,85,125,42,39
NH3,24h,09.10.2019,100,9,11,
TSP,24h,,120,,,
PM10,24h,06.10.2019,50,75,28,
BC,24h,09.10.2019,4,,,
UV,24h,09.10.2019,6,,,
Benzen,24h,,,,,
SO 2,24h,10.10.2019,125,125,8,8
ČAĐ,24h,10.10.2019,50,10,13,11
NO,2 24h,10.10.2019,85,125,16,12
NH3,24h,10.10.2019,100,16,14,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,10.10.2019,5,,,
UV,24h,10.10.2019,8,,,
Benzen,24h,,,,,
SO 2,24h,11.10.2019,125,125,8,8
ČAĐ,24h,11.10.2019,50,18,20,15
NO,2 24h,11.10.2019,85,125,29,30
NH3,24h,11.10.2019,100,6,11,
TSP,24h,,120,,,
PM10,24h,08.10.2019,50,75,37,
BC,24h,11.10.2019,4,,,
UV,24h,11.10.2019,8,,,
Benzen,24h,,,,,
SO 2,24h,12.10.2019,125,125,8,8
ČAĐ,24h,12.10.2019,50,28,27,27
NO,2 24h,12.10.2019,85,125,18,24
NH3,24h,12.10.2019,100,9,10,
TSP,24h,,120,,,
PM10,24h,09.10.2019,50,75,52,
BC,24h,12.10.2019,6,,,
UV,24h,12.10.2019,12,,,
Benzen,24h,,,,,
SO 2,24h,13.10.2019,125,125,8,8
ČAĐ,24h,13.10.2019,50,29,36,25
NO,2 24h,13.10.2019,85,125,29,34
NH3,24h,13.10.2019,100,70,16,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,13.10.2019,12,,,
UV,24h,13.10.2019,15,,,
Benzene,24h,,,2,,
SO 2,24h,14.10.2019,125,125,8,8
ČAĐ,24h,14.10.2019,50,45,51,32
NO,2 24h,14.10.2019,85,125,30,38
NH3,24h,14.10.2019,100,16,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,14.10.2019,12,,,
UV,24h,14.10.2019,17,,,
Benzen,24h,,,,,
SO 2,24h,15.10.2019,125,125,8,8
ČAĐ,24h,15.10.2019,50,38,38,35
NO,2 24h,15.10.2019,85,125,47,40
NH3,24h,15.10.2019,100,17,9,
TSP,24h,,120,,,
PM10,24h,12.10.2019,50,75,66,
BC,24h,15.10.2019,10,,,
UV,24h,15.10.2019,14,,,
Benzen,24h,,,,,
SO 2,24h,16.10.2019,125,125,22,20
ČAĐ,24h,16.10.2019,50,45,35,35
NO,2 24h,16.10.2019,85,125,53,30
NH3,24h,16.10.2019,100,11,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,16.10.2019,,,,
UV,24h,16.10.2019,,,,
Benzen,24h,,,,,
SO 2,24h,17.10.2019,125,125,8,8
ČAĐ,24h,17.10.2019,50,58,40,60
NO,2 24h,17.10.2019,85,125,58,46
NH3,24h,17.10.2019,100,13,9,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,17.10.2019,12,,,
UV,24h,17.10.2019,15,,,
Benzen,24h,,,,,
SO 2,24h,18.10.2019,125,125,8,8
ČAĐ,24h,18.10.2019,50,71,57,72
NO,2 24h,18.10.2019,85,125,65,44
NH3,24h,18.10.2019,100,19,12,
TSP,24h,,120,,,
PM10,24h,15.10.2019,50,75,95,
BC,24h,18.10.2019,19,,,
UV,24h,18.10.2019,23,,,
Benzen,24h,,,,,
SO 2,24h,19.10.2019,125,125,8,8
ČAĐ,24h,19.10.2019,50,65,64,54
NO,2 24h,19.10.2019,85,125,60,48
NH3,24h,19.10.2019,100,17,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,19.10.2019,20,,,
UV,24h,19.10.2019,25,,,
Benzene,24h,,,8,,
SO 2,24h,20.10.2019,125,125,8,8
ČAĐ,24h,20.10.2019,50,49,50,47
NO,2 24h,20.10.2019,85,125,60,35
NH3,24h,20.10.2019,100,13,19,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,20.10.2019,13,,,
UV,24h,20.10.2019,20,,,
Benzen,24h,,,,,
SO 2,24h,21.10.2019,125,125,8,8
ČAĐ,24h,21.10.2019,50,67,68,67
NO,2 24h,21.10.2019,85,125,54,58
NH3,24h,21.10.2019,100,13,10,
TSP,24h,,120,,,
PM10,24h,18.10.2019,50,75,131,
BC,24h,21.10.2019,16,,,
UV,24h,21.10.2019,21,,,
Benzen,24h,,,,,
SO 2,24h,22.10.2019,125,125,16,20
ČAĐ,24h,22.10.2019,50,74,79,67
NO,2 24h,22.10.2019,85,125,61,56
NH3,24h,22.10.2019,100,10,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,22.10.2019,22,,,
UV,24h,22.10.2019,28,,,
Benzen,24h,,,,,
SO 2,24h,23.10.2019,125,125,8,8
ČAĐ,24h,23.10.2019,50,30,37,26
NO,2 24h,23.10.2019,85,125,39,43
NH3,24h,23.10.2019,100,17,15,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,23.10.2019,11,,,
UV,24h,23.10.2019,19,,,
Benzen,24h,,,,,
SO 2,24h,24.10.2019,125,125,8,8
ČAĐ,24h,24.10.2019,50,30,37,27
NO,2 24h,24.10.2019,85,125,29,35
NH3,24h,24.10.2019,100,13,14,
TSP,24h,,120,,,
PM10,24h,21.10.2019,50,75,137,
BC,24h,24.10.2019,6,,,
UV,24h,24.10.2019,13,,,
Benzen,24h,,,,,
SO 2,24h,25.10.2019,125,125,8,8
ČAĐ,24h,25.10.2019,50,65,57,51
NO,2 24h,25.10.2019,85,125,43,46
NH3,24h,25.10.2019,100,16,20,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,25.10.2019,12,,,
UV,24h,25.10.2019,17,,,
Benzen,24h,,,,,
SO 2,24h,26.10.2019,125,125,8,9
ČAĐ,24h,26.10.2019,50,73,76,65
NO,2 24h,26.10.2019,85,125,55,43
NH3,24h,26.10.2019,100,20,20,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,26.10.2019,19,,,
UV,24h,26.10.2019,22,,,
Benzen,24h,,,,,
SO 2,24h,27.10.2019,125,125,8,8
ČAĐ,24h,27.10.2019,50,93,68,104
NO,2 24h,27.10.2019,85,125,69,50
NH3,24h,27.10.2019,100,6,5,
TSP,24h,,120,,,
PM10,24h,24.10.2019,50,75,90,
BC,24h,27.10.2019,,,,
UV,24h,27.10.2019,,,,
Benzen,24h,,,,,
SO 2,24h,28.10.2019,125,125,8,8
ČAĐ,24h,28.10.2019,50,63,47,65
NO,2 24h,28.10.2019,85,125,50,28
NH3,24h,28.10.2019,100,13,15,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,28.10.2019,20,,,
UV,24h,28.10.2019,25,,,
Benzen,24h,,,,,
SO 2,24h,29.10.2019,125,125,8,8
ČAĐ,24h,29.10.2019,50,17,16,18
NO,2 24h,29.10.2019,85,125,19,19
NH3,24h,29.10.2019,100,13,9,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,29.10.2019,7,,,
UV,24h,29.10.2019,13,,,
Benzen,24h,,,,,
SO 2,24h,30.10.2019,125,125,8,8
ČAĐ,24h,30.10.2019,50,9,7,8
NO,2 24h,30.10.2019,85,125,22,16
NH3,24h,30.10.2019,100,19,9,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,30.10.2019,3,,,
UV,24h,30.10.2019,4,,,
Benzen,24h,,,,,
SO 2,24h,31.10.2019,125,125,8,8
ČAĐ,24h,31.10.2019,50,6,8,8
NO,2 24h,31.10.2019,85,125,18,17
NH3,24h,31.10.2019,100,10,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,31.10.2019,3,,,
UV,24h,31.10.2019,5,,,
Benzen,24h,31.10.2019,,,,
SO 2,24h,01.07.2021,125,125,8,8
ČAĐ,24h,01.07.2021,50,4,4,4
NO,2 24h,01.07.2021,85,125,9,10
NH3,24h,01.07.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,01.07.2021,0,,,
UV,24h,01.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,02.07.2021,125,125,8,8
ČAĐ,24h,02.07.2021,50,4,4,4
NO,2 24h,02.07.2021,85,125,18,8
NH3,24h,02.07.2021,100,16,22,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,02.07.2021,0,,,
UV,24h,02.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,03.07.2021,125,125,8,8
ČAĐ,24h,03.07.2021,50,4,4,4
NO,2 24h,03.07.2021,85,125,8,8
NH3,24h,03.07.2021,100,15,20,
TSP,24h,,120,,,
PM10,24h,03.07.2021,50,75,22,
BC,24h,03.07.2021,0,,,
UV,24h,03.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,04.07.2021,125,125,8,8
ČAĐ,24h,04.07.2021,50,4,8,4
NO,2 24h,04.07.2021,85,125,15,13
NH3,24h,04.07.2021,100,9,15,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,04.07.2021,0,,,
UV,24h,04.07.2021,0,,,
Benzen,24h,04.07.2021,,,,
SO 2,24h,05.07.2021,125,125,8,8
ČAĐ,24h,05.07.2021,50,4,5,5
NO,2 24h,05.07.2021,85,125,15,9
NH3,24h,05.07.2021,100,15,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,05.07.2021,0,,,
UV,24h,05.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,06.07.2021,125,125,8,8
ČAĐ,24h,06.07.2021,50,13,10,14
NO,2 24h,06.07.2021,85,125,13,11
NH3,24h,06.07.2021,100,13,9,
TSP,24h,,120,,,
PM10,24h,06.07.2021,50,75,48,
BC,24h,06.07.2021,0,,,
UV,24h,06.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,07.07.2021,125,125,8,8
ČAĐ,24h,07.07.2021,50,8,6,5
NO,2 24h,07.07.2021,85,125,26,19
NH3,24h,07.07.2021,100,10,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,07.07.2021,0,,,
UV,24h,07.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,08.07.2021,125,125,8,8
ČAĐ,24h,08.07.2021,50,4,4,4
NO,2 24h,08.07.2021,85,125,19,14
NH3,24h,08.07.2021,100,9,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,08.07.2021,0,,,
UV,24h,08.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,09.07.2021,125,125,8,8
ČAĐ,24h,09.07.2021,50,4,4,4
NO,2 24h,09.07.2021,85,125,11,16
NH3,24h,09.07.2021,100,16,19,
TSP,24h,,120,,,
PM10,24h,09.07.2021,50,75,52,
BC,24h,09.07.2021,0,,,
UV,24h,09.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,10.07.2021,125,125,8,8
ČAĐ,24h,10.07.2021,50,4,4,4
NO,2 24h,10.07.2021,85,125,17,12
NH3,24h,10.07.2021,100,18,20,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,10.07.2021,0,,,
UV,24h,10.07.2021,0,,,
Benzen,24h,10.07.2021,,,,
SO 2,24h,11.07.2021,125,125,8,8
ČAĐ,24h,11.07.2021,50,5,4,4
NO,2 24h,11.07.2021,85,125,6,14
NH3,24h,11.07.2021,100,9,14,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,11.07.2021,0,,,
UV,24h,11.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,12.07.2021,125,125,8,8
ČAĐ,24h,12.07.2021,50,4,6,5
NO,2 24h,12.07.2021,85,125,26,20
NH3,24h,12.07.2021,100,10,6,
TSP,24h,,120,,,
PM10,24h,12.07.2021,50,75,48,
BC,24h,12.07.2021,0,,,
UV,24h,12.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,13.07.2021,125,125,8,8
ČAĐ,24h,13.07.2021,50,5,6,6
NO,2 24h,13.07.2021,85,125,22,16
NH3,24h,13.07.2021,100,9,19,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,13.07.2021,0,,,
UV,24h,13.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,14.07.2021,125,125,8,8
ČAĐ,24h,14.07.2021,50,5,4,4
NO,2 24h,14.07.2021,85,125,14,10
NH3,24h,14.07.2021,100,9,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,14.07.2021,0,,,
UV,24h,14.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,15.07.2021,125,125,8,8
ČAĐ,24h,15.07.2021,50,4,4,5
NO,2 24h,15.07.2021,85,125,10,8
NH3,24h,15.07.2021,100,7,8,
TSP,24h,,120,,,
PM10,24h,15.07.2021,50,75,42,
BC,24h,15.07.2021,0,,,
UV,24h,15.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,16.07.2021,125,125,8,8
ČAĐ,24h,16.07.2021,50,4,5,5
NO,2 24h,16.07.2021,85,125,13,9
NH3,24h,16.07.2021,100,8,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,16.07.2021,0,,,
UV,24h,16.07.2021,0,,,
Benzen,24h,16.07.2021,,,,
SO 2,24h,17.07.2021,125,125,8,8
ČAĐ,24h,17.07.2021,50,4,5,4
NO,2 24h,17.07.2021,85,125,12,8
NH3,24h,17.07.2021,100,8,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,17.07.2021,0,,,
UV,24h,17.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,18.07.2021,125,125,8,8
ČAĐ,24h,18.07.2021,50,4,4,4
NO,2 24h,18.07.2021,85,125,5,6
NH3,24h,18.07.2021,100,5,7,
TSP,24h,,120,,,
PM10,24h,18.07.2021,50,75,18,
BC,24h,18.07.2021,0,,,
UV,24h,18.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,19.07.2021,125,125,8,8
ČAĐ,24h,19.07.2021,50,4,4,4
NO,2 24h,19.07.2021,85,125,10,6
NH3,24h,19.07.2021,100,11,16,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,19.07.2021,0,,,
UV,24h,19.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,20.07.2021,125,125,8,8
ČAĐ,24h,20.07.2021,50,4,4,4
NO,2 24h,20.07.2021,85,125,5,6
NH3,24h,20.07.2021,100,10,14,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,20.07.2021,0,,,
UV,24h,20.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,21.07.2021,125,125,8,8
ČAĐ,24h,21.07.2021,50,5,4,4
NO,2 24h,21.07.2021,85,125,9,8
NH3,24h,21.07.2021,100,8,9,
TSP,24h,,120,,,
PM10,24h,,50,75,28,
BC,24h,21.07.2021,0,,,
UV,24h,21.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,22.07.2021,125,125,8,8
ČAĐ,24h,22.07.2021,50,7,7,5
NO,2 24h,22.07.2021,85,125,7,6
NH3,24h,22.07.2021,100,9,9,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,22.07.2021,0,,,
UV,24h,22.07.2021,0,,,
Benzen,24h,22.07.2021,,,,
SO 2,24h,23.07.2021,125,125,8,8
ČAĐ,24h,23.07.2021,50,6,18,12
NO,2 24h,23.07.2021,85,125,22,14
NH3,24h,23.07.2021,100,7,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,23.07.2021,0,,,
UV,24h,23.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,24.07.2021,125,125,8,8
ČAĐ,24h,24.07.2021,50,7,8,5
NO,2 24h,24.07.2021,85,125,9,12
NH3,24h,24.07.2021,100,7,11,
TSP,24h,,120,,,
PM10,24h,24.07.2021,50,75,41,
BC,24h,24.07.2021,0,,,
UV,24h,24.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,25.07.2021,125,125,8,8
ČAĐ,24h,25.07.2021,50,4,6,7
NO,2 24h,25.07.2021,85,125,4,10
NH3,24h,25.07.2021,100,9,14,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,25.07.2021,0,,,
UV,24h,25.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,26.07.2021,125,125,8,8
ČAĐ,24h,26.07.2021,50,5,10,6
NO,2 24h,26.07.2021,85,125,3,7
NH3,24h,26.07.2021,100,5,14,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,26.07.2021,0,,,
UV,24h,26.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,27.07.2021,125,125,8,8
ČAĐ,24h,27.07.2021,50,5,9,5
NO,2 24h,27.07.2021,85,125,8,16
NH3,24h,27.07.2021,100,6,18,
TSP,24h,,120,,,
PM10,24h,27.07.2021,50,75,50,
BC,24h,27.07.2021,0,,,
UV,24h,27.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,28.07.2021,125,125,8,8
ČAĐ,24h,28.07.2021,50,4,6,5
NO,2 24h,28.07.2021,85,125,20,12
NH3,24h,28.07.2021,100,9,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,28.07.2021,0,,,
UV,24h,28.07.2021,0,,,
Benzen,24h,28.07.2021,,,,
SO 2,24h,29.07.2021,125,125,8,8
ČAĐ,24h,29.07.2021,50,4,4,4
NO,2 24h,29.07.2021,85,125,13,10
NH3,24h,29.07.2021,100,8,14,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,29.07.2021,0,,,
UV,24h,29.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,30.07.2021,125,125,8,8
ČAĐ,24h,30.07.2021,50,11,9,9
NO,2 24h,30.07.2021,85,125,14,10
NH3,24h,30.07.2021,100,9,11,
TSP,24h,,120,,,
PM10,24h,30.07.2021,50,75,47,
BC,24h,30.07.2021,0,,,
UV,24h,30.07.2021,0,,,
Benzen,24h,,,,,
SO 2,24h,31.07.2021,125,125,8,8
ČAĐ,24h,31.07.2021,50,7,10,7
